state,organizations,total_revenue,total_expenses,total_surplus,median_margin,overall_state_margin
CA,1563,230221648428.0,224076632164.0,6144812379.0,0.030796939122954784,0.026690853883455455
NY,1312,141381200131.0,138303488491.0,3075140288.0,0.009066635993442247,0.021750701544127917
TX,864,64684933930.0,60933279867.0,3751490224.0,0.03140000991489829,0.05799635241275418
MA,448,64589789673.0,63198230486.0,1391555689.0,0.007642729610818282,0.021544514946480804
OH,681,60511230694.0,58605828744.0,1904934712.0,0.027191617423333536,0.031480680365486007
PA,900,57645522929.0,57018034065.0,626665190.0,0.020846742886106183,0.010871012320797955
IL,501,52473694182.0,50886410644.0,1587296368.0,0.03684923731195902,0.030249373381157692
WA,351,52032301532.0,53053548437.0,-1021246905.0,0.016343885590386346,-0.01962717148638775
FL,719,50897952431.0,47831387346.0,3047132553.0,0.03516367086782597,0.05986748793344598
MI,486,50176402395.0,49238285345.0,938400790.0,0.02349975605789559,0.018702034127769794
MN,427,47301595318.0,47069501243.0,232031587.0,0.016939826675384014,0.004905364934101988
MO,388,46427225495.0,45884556429.0,542669066.0,0.020900655155620392,0.011688595650809307
GA,415,40154282087.0,37423696164.0,2730551667.0,0.014133909474312598,0.06800150631715614
NJ,441,34683040337.0,34130345200.0,548359275.0,0.01403085404004057,0.015810588393400108
MD,368,33623285225.0,32970105917.0,642498354.0,0.022443506515465086,0.019108732228291653
AZ,246,32663024708.0,32113179025.0,549688656.0,0.03234957447867416,0.0168290800045033
IN,377,31093374411.0,30585524241.0,507850132.0,0.02965196780577966,0.016333065857925547
NC,436,30355068363.0,29405280887.0,949715614.0,0.04319063076573954,0.03128688766708939
VA,392,28382492517.0,27499162114.0,883303033.0,0.019387825384207923,0.031121404593727493
CO,354,23077239334.0,22681533086.0,395706248.0,0.04393994587714686,0.017147035755572408
OR,254,21822833707.0,21602854492.0,219978215.0,0.04483069445406464,0.010080185641951655
WI,349,21485557552.0,21316552990.0,169004562.0,0.039109107369454416,0.007865961197002684
KY,234,20972221262.0,20468612899.0,503608363.0,0.03722625189807858,0.024013115096801804
CT,231,20034567841.0,19812081408.0,222482070.0,0.014436910460632873,0.011104909862078417
TN,348,19932248338.0,19700528950.0,231719388.0,0.03723448468918807,0.011625351243403718
UT,124,17222248641.0,16446950486.0,775298155.0,0.05952237469689122,0.045017243169645865
SC,186,12580569942.0,12008371561.0,572198381.0,0.038871987639623275,0.0454827073525283
LA,162,11169319242.0,10763185252.0,406133990.0,0.03816959423894016,0.036361570584607705
WV,124,9749866386.0,9398766935.0,351099451.0,0.03198505349825005,0.0360106935931091
DE,49,9199069125.0,9105496160.0,93584023.0,0.036643932211630606,0.010173205759012056
NE,118,8755534115.0,8516251531.0,176257668.0,0.039015123522533134,0.020131001225617406
ME,141,8075303228.0,7965700360.0,109569462.0,0.021096132686896925,0.013568464106720229
AR,131,7692377736.0,7535102919.0,157274817.0,0.009973460189262618,0.020445540039454972
IA,194,7514169966.0,7616221940.0,-102033560.0,0.047082228116710874,-0.013578819811327116
OK,170,6855876886.0,6377205572.0,478671314.0,0.0333652958445165,0.06981912335349366
RI,84,6791209968.0,6766828571.0,24381397.0,0.009942651377835524,0.0035901403600955488
NH,94,6548222725.0,6571316584.0,-23093859.0,0.031105459558059198,-0.003526736943725444
ID,85,5878756691.0,5747965738.0,130790953.0,0.0431476849151185,0.022248063642476064
VT,106,4257826204.0,4221460612.0,36365592.0,0.00768197358840275,0.008540882191442308
KS,200,4135707877.0,4044681298.0,91026579.0,0.04216353312922699,0.022009915039267653
MT,115,3972211806.0,3930312884.0,41857409.0,0.030445706658649367,0.010537557170736631
NM,106,3919191528.0,4083566460.0,-164374932.0,0.020732206513482808,-0.04194103065023772
AL,189,3817589386.0,3678728077.0,138861309.0,0.03943690624856086,0.036374081903422395
SD,75,3687836057.0,3622727043.0,65109014.0,0.04832666387801107,0.01765507278351338
MS,99,3424387769.0,3485748744.0,-61300191.0,0.027267238505680913,-0.01790106586495053
AK,68,3167986609.0,2882034093.0,285952516.0,0.040164981482436635,0.09026317067996167
HI,73,2648497204.0,2549401247.0,99098026.0,0.024988068123153517,0.03741670025187612
DC,121,2605568456.0,2587667603.0,17900853.0,0.022687621566392473,0.006870229396114549
NV,103,2476842058.0,2288427077.0,188042981.0,0.0538877448893305,0.07592045701607672
ND,86,2290030900.0,2296840463.0,-7014177.0,0.04156892496294016,-0.0030629180593152697
PR,38,815995520.0,662868908.0,153126612.0,0.050277640495078726,0.18765619203399547
WY,49,359852042.0,323570893.0,34807764.0,-0.0031961947867601577,0.09672798799902323
Unknown,8,311959392.0,322254696.0,-10295304.0,0.038743540554289954,-0.033002064576404866
VI,5,31202296.0,37211785.0,-6009489.0,-0.14250305737399369,-0.19259765371112433
GU,2,1018611.0,956011.0,62600.0,0.07329376124995735,0.06145623795541183
